atoms,bonds,dbonds,HBA1,HBD,logP,MR,MW,sbonds,Target
5,4,0,2,1,2.181,18.671,107.36694,4,Yes
21,25,1,11,0,6.895,58.53,354.53,24,Yes
6,5,1,3,1,2.181,18.671,107.36694,4,Yes
24,23,2,24,5,1.35,13.344,12.09528,21,No
22,21,3,22,6,1.0125,10.008,9.07146,18,Yes
22,21,3,22,3,0.675,6.672,75.01695,18,No
30,30,2,30,12,1.6875,16.68,15.1191,28,No
24,26,1,16,5,6.191,53.496,289.67164,25,Yes
22,24,2,15,5,5.389,46.531,253.2107,22,Yes
18,17,2,16,3,2.1665,19.49,77.96158,15,No
36,35,4,36,7,1.4625,14.456,82.07253,31,No
27,31,1,21,7,5.037,44.014,220.78152,30,No
6,5,1,2,0,2.758,23.412,141.812,4,Yes
18,18,0,12,6,4.812,41.79,218.76564,18,No
24,25,3,21,6,2.9685,26.455,114.42252,22,Yes
37,36,3,36,7,2.827,26.981,54.60386,33,No
27,32,0,21,8,5.037,44.014,220.78152,32,No
35,35,1,35,12,2.1375,21.128,19.15086,34,Yes
29,30,2,29,10,1.35,13.344,12.09528,28,No
26,29,2,20,7,5.037,44.014,220.78152,27,Yes
16,16,1,13,2,2.406,20.895,109.38282,15,No
38,37,3,38,8,2.1375,21.128,19.15086,34,No
25,26,1,23,7,2.1665,19.49,77.96158,25,Yes
8,7,0,4,2,2.983,25.636,143.82788,7,Yes
11,10,0,8,3,2.9432,29.267,200.3007,10,Yes
29,31,3,29,7,1.0125,10.008,9.07146,28,Yes
70,73,6,68,22,4.304,40.618,97.11244,67,No
36,36,3,36,11,2.025,20.016,18.14292,33,No
29,29,1,27,8,3.0665,28.386,86.0251,28,No
28,28,2,24,5,3.7705,33.42,150.88346,26,Yes
39,39,2,36,8,3.0606,21.116,73.1222496,37,No
36,37,0,33,11,3.756,34.239,121.4781,37,No
17,17,1,17,6,0.7875,7.784,7.05558,16,No
14,14,0,10,0,2.758,23.412,141.812,12,No
30,30,3,29,9,2.152,20.309,48.55622,27,No
21,21,1,21,6,1.125,11.12,10.0794,20,No
27,28,0,27,10,1.35,13.344,12.09528,28,Yes
14,14,1,14,4,0.5625,5.56,5.0397,13,No
42,43,4,42,13,2.25,22.24,20.1588,39,No
42,43,3,42,13,2.3625,23.352,21.16674,40,No
13,12,2,13,3,0.5625,5.56,5.0397,10,No
12,12,1,12,2,0.3375,3.336,3.02382,11,No
19,19,2,19,4,0.675,6.672,6.04764,17,No
8,7,0,6,2,1.829,16.154,74.93776,7,Yes
40,41,1,40,14,2.7,26.688,24.19056,40,No
23,25,1,23,6,1.35,13.344,12.09528,24,Yes
102,107,2,98,32,8.383,79.012,192.209,105,Yes
103,107,2,101,33,8.0165,77.314,130.37446,105,Yes
14,14,1,9,0,3.4475,29.265,177.265,13,No
16,16,0,15,5,1.477,13.637,42.50858,16,Yes
20,21,1,20,7,0.7875,7.784,7.05558,20,No
7,6,1,4,0,2.0685,17.559,106.359,5,No
